time_dk,PriceArea,price_dkk_per_kwh
2025-10-05 14:45:00,DK1,-0.019264086
2025-10-05 15:00:00,DK1,-0.017994747000000002
2025-10-05 15:15:00,DK1,-0.016053405
2025-10-05 15:30:00,DK1,-0.015157401000000001
2025-10-05 15:45:00,DK1,-0.022549434
2025-10-05 16:00:00,DK1,-0.011872052999999999
2025-10-05 16:15:00,DK1,-0.007616034
2025-10-05 16:30:00,DK1,-0.00074667
2025-10-05 16:45:00,DK1,-0.000298668
2025-10-05 17:00:00,DK1,-0.006794697000000001
2025-10-05 17:15:00,DK1,0.000522669
2025-10-05 17:30:00,DK1,0.017472078
2025-10-05 17:45:00,DK1,0.048757550999999996
2025-10-05 18:00:00,DK1,0.040096179
2025-10-05 18:15:00,DK1,0.0821337
2025-10-05 18:30:00,DK1,0.14866199700000002
2025-10-05 18:45:00,DK1,0.20944092800000003
2025-10-05 19:00:00,DK1,0.158667375
2025-10-05 19:15:00,DK1,0.19928622999999998
2025-10-05 19:30:00,DK1,0.319873428
2025-10-05 19:45:00,DK1,0.36892964699999997
2025-10-05 20:00:00,DK1,0.2538678
2025-10-05 20:15:00,DK1,0.183531486
2025-10-05 20:30:00,DK1,0.101995122
2025-10-05 20:45:00,DK1,0.052864235999999995
2025-10-05 21:00:00,DK1,0.058538928
2025-10-05 21:15:00,DK1,0.038453505
2025-10-05 21:30:00,DK1,0.035466825
2025-10-05 21:45:00,DK1,0.031136139
2025-10-05 22:00:00,DK1,0.042933525
2025-10-05 22:15:00,DK1,0.036288162
2025-10-05 22:30:00,DK1,0.044501531999999996
2025-10-05 22:45:00,DK1,0.031658808000000004
2025-10-05 23:00:00,DK1,0.036437496
2025-10-05 23:15:00,DK1,0.03061347
2025-10-05 23:30:00,DK1,0.029568131999999997
2025-10-05 23:45:00,DK1,0.025088112
2025-10-06 00:00:00,DK1,0.231318366
2025-10-06 00:15:00,DK1,0.183158158
2025-10-06 00:30:00,DK1,0.117749859
2025-10-06 00:45:00,DK1,0.09034707
2025-10-06 01:00:00,DK1,0.10341379499999999
2025-10-06 01:15:00,DK1,0.078923019
2025-10-06 01:30:00,DK1,0.068021637
2025-10-06 01:45:00,DK1,0.049952223
2025-10-06 02:00:00,DK1,0.0522669
2025-10-06 02:15:00,DK1,0.06496029
2025-10-06 02:30:00,DK1,0.078997686
2025-10-06 02:45:00,DK1,0.075637671
2025-10-06 03:00:00,DK1,0.07862435100000001
2025-10-06 03:15:00,DK1,0.078549684
2025-10-06 03:30:00,DK1,0.082357701
2025-10-06 03:45:00,DK1,0.081013695
2025-10-06 04:00:00,DK1,0.082283034
2025-10-06 04:15:00,DK1,0.135296611
2025-10-06 04:30:00,DK1,0.133355269
2025-10-06 04:45:00,DK1,0.150827347
2025-10-06 05:00:00,DK1,0.058314926999999996
2025-10-06 05:15:00,DK1,0.07392033
2025-10-06 05:30:00,DK1,0.17024075300000002
2025-10-06 05:45:00,DK1,0.372588345
2025-10-06 06:00:00,DK1,0.13731260599999998
2025-10-06 06:15:00,DK1,0.495714206
2025-10-06 06:30:00,DK1,0.540663777
2025-10-06 06:45:00,DK1,0.573965251
2025-10-06 07:00:00,DK1,0.671779006
2025-10-06 07:15:00,DK1,0.744205974
2025-10-06 07:30:00,DK1,0.7684727490000001
2025-10-06 07:45:00,DK1,0.861955863
2025-10-06 08:00:00,DK1,0.6122694
2025-10-06 08:15:00,DK1,0.734125944
2025-10-06 08:30:00,DK1,0.695896418
2025-10-06 08:45:00,DK1,0.8114062740000001
2025-10-06 09:00:00,DK1,0.568141173
2025-10-06 09:15:00,DK1,0.640269525
2025-10-06 09:30:00,DK1,0.670733676
2025-10-06 09:45:00,DK1,0.7101578439999999
2025-10-06 10:00:00,DK1,0.634744182
2025-10-06 10:15:00,DK1,0.633250812
2025-10-06 10:30:00,DK1,0.627501475
2025-10-06 10:45:00,DK1,0.586882605
2025-10-06 11:00:00,DK1,0.632952137
2025-10-06 11:15:00,DK1,0.5707545629999999
2025-10-06 11:30:00,DK1,0.590167975
2025-10-06 11:45:00,DK1,0.595544007
2025-10-06 12:00:00,DK1,0.511170275
2025-10-06 12:15:00,DK1,0.581655945
2025-10-06 12:30:00,DK1,0.613016055
2025-10-06 12:45:00,DK1,0.641912206
2025-10-06 13:00:00,DK1,0.609805374
2025-10-06 13:15:00,DK1,0.657442957
2025-10-06 13:30:00,DK1,0.626306774
2025-10-06 13:45:00,DK1,0.615256095
2025-10-06 14:00:00,DK1,0.598904
2025-10-06 14:15:00,DK1,0.640045531
2025-10-06 14:30:00,DK1,0.700451112
2025-10-06 14:45:00,DK1,0.680664402
2025-10-06 15:00:00,DK1,0.668045656
2025-10-06 15:15:00,DK1,0.6867124059999999
2025-10-06 15:30:00,DK1,0.714413856
2025-10-06 15:45:00,DK1,0.7541367
2025-10-06 16:00:00,DK1,0.6454961929999999
2025-10-06 16:15:00,DK1,0.730765951
2025-10-06 16:30:00,DK1,0.8264890380000001
2025-10-06 16:45:00,DK1,0.919897418
2025-10-06 17:00:00,DK1,0.702019112
2025-10-06 17:15:00,DK1,0.843961094
2025-10-06 17:30:00,DK1,0.9104147309999999
2025-10-06 17:45:00,DK1,1.139269101
2025-10-06 18:00:00,DK1,0.820889013
2025-10-06 18:15:00,DK1,0.8847292680000001
2025-10-06 18:30:00,DK1,1.104324885
2025-10-06 18:45:00,DK1,1.425691713
2025-10-06 19:00:00,DK1,1.262096294
2025-10-06 19:15:00,DK1,1.3104058500000002
2025-10-06 19:30:00,DK1,1.262768267
2025-10-06 19:45:00,DK1,1.196240059
2025-10-06 20:00:00,DK1,1.1717491789999999
2025-10-06 20:15:00,DK1,0.978884415
2025-10-06 20:30:00,DK1,0.9398335510000001
2025-10-06 20:45:00,DK1,0.902052012
2025-10-06 21:00:00,DK1,0.9557376000000001
2025-10-06 21:15:00,DK1,0.925348131
2025-10-06 21:30:00,DK1,0.86352387
2025-10-06 21:45:00,DK1,0.845454463
2025-10-06 22:00:00,DK1,1.0099458049999999
2025-10-06 22:15:00,DK1,0.855534501
2025-10-06 22:30:00,DK1,0.860163818
2025-10-06 22:45:00,DK1,0.8184996760000001
2025-10-06 23:00:00,DK1,0.838734426
2025-10-06 23:15:00,DK1,0.784302175
2025-10-06 23:30:00,DK1,0.774072774
2025-10-06 23:45:00,DK1,0.753838025
2025-10-07 00:00:00,DK1,0.7878115320000001
2025-10-07 00:15:00,DK1,0.766158094
2025-10-07 00:30:00,DK1,0.739576657
2025-10-07 00:45:00,DK1,0.701048456
2025-10-07 01:00:00,DK1,0.74667
2025-10-07 01:15:00,DK1,0.707992494
2025-10-07 01:30:00,DK1,0.6920137559999999
2025-10-07 01:45:00,DK1,0.6604295929999999
2025-10-07 02:00:00,DK1,0.681187063
2025-10-07 02:15:00,DK1,0.667224319
2025-10-07 02:30:00,DK1,0.667896293
2025-10-07 02:45:00,DK1,0.666253663
2025-10-07 03:00:00,DK1,0.661997652
2025-10-07 03:15:00,DK1,0.661474923
2025-10-07 03:30:00,DK1,0.668045656
2025-10-07 03:45:00,DK1,0.6830537379999999
2025-10-07 04:00:00,DK1,0.649005549
2025-10-07 04:15:00,DK1,0.663042982
2025-10-07 04:30:00,DK1,0.709560494
2025-10-07 04:45:00,DK1,0.75525672
2025-10-07 05:00:00,DK1,0.649154913
2025-10-07 05:15:00,DK1,0.6952244439999999
2025-10-07 05:30:00,DK1,0.739576657
2025-10-07 05:45:00,DK1,0.805358269
2025-10-07 06:00:00,DK1,0.7972195369999999
2025-10-07 06:15:00,DK1,0.933860169
2025-10-07 06:30:00,DK1,1.027268601
2025-10-07 06:45:00,DK1,1.1393437229999999
2025-10-07 07:00:00,DK1,1.063706134
2025-10-07 07:15:00,DK1,1.473030569
2025-10-07 07:30:00,DK1,1.8890751000000001
2025-10-07 07:45:00,DK1,1.975464871
2025-10-07 08:00:00,DK1,2.134206764
2025-10-07 08:15:00,DK1,2.0481157199999998
2025-10-07 08:30:00,DK1,1.987411636
2025-10-07 08:45:00,DK1,1.887432419
2025-10-07 09:00:00,DK1,2.1179294100000003
2025-10-07 09:15:00,DK1,1.7874533060000002
2025-10-07 09:30:00,DK1,1.21819206
2025-10-07 09:45:00,DK1,0.995385762
